"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL4215901"	""	"0"	"1432.78"	"None"	"None"	"9"	"C=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@](C)(CCCC=C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O)[C@@H](C)CC"	"Activity"	"'='"	"184.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198100"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215042"	""	"0"	"1543.96"	"None"	"None"	"3a"	"CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)C1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"140.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198097"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 9.375 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215901"	""	"0"	"1432.78"	"None"	"None"	"9"	"C=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@](C)(CCCC=C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O)[C@@H](C)CC"	"Activity"	"'='"	"145.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198098"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 18.75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4205871"	""	"0"	"1406.78"	"None"	"None"	"1"	"CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)[C@@H](C)CC)C(C)C)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"56.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198098"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 18.75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215578"	""	"0"	"1444.83"	"None"	"None"	"2a"	"CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@]1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"181.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198100"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215578"	""	"0"	"1444.83"	"None"	"None"	"2b"	"CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@]1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"153.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198099"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 37.5 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215901"	""	"0"	"1432.78"	"None"	"None"	"9"	"C=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@](C)(CCCC=C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O)[C@@H](C)CC"	"Activity"	"'='"	"175.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198099"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 37.5 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215042"	""	"0"	"1543.96"	"None"	"None"	"3a"	"CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)C1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"169.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198099"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 37.5 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215042"	""	"0"	"1543.96"	"None"	"None"	"3a"	"CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)C1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"168.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198100"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
"CHEMBL4215578"	""	"0"	"1444.83"	"None"	"None"	"2a"	"CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@]1(C)CCCC=CCCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1)[C@@H](C)CC)C(N)=O"	"Activity"	"'='"	"130.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"False"	"CHEMBL4198098"	"Inhibition of dimerization of HIS/FLAG tagged Leishmania infantum trypanothione reductase assessed as dimer levels at 18.75 uM incubated for 16 hrs by ELISA (Rvb = 100%)"	"B"	"BAO_0000357"	"single protein format"	"Leishmania infantum"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1944501"	"Trypanothione reductase"	"Leishmania infantum"	"SINGLE PROTEIN"	"CHEMBL4196062"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""
