#COL_NUMBER	#RES_PAIR_COLUMN_SCORE
2	1.000
3	1.000
4	1.000
5	1.000
6	1.000
7	1.000
8	1.000
9	1.000
10	0.990
11	0.990
12	0.990
13	0.990
14	0.990
15	0.990
16	0.990
17	0.980
18	0.980
19	0.980
20	0.980
24	0.900
25	0.900
26	0.900
27	0.900
28	0.900
29	0.900
30	0.900
38	0.200
39	0.200
40	0.603
41	0.793
42	0.793
43	0.793
44	0.793
45	0.797
46	0.797
47	0.797
48	0.861
49	0.861
50	0.861
53	0.597
54	0.528
55	0.531
56	0.530
57	0.516
58	0.535
59	0.518
60	0.521
61	0.500
62	0.767
66	0.465
67	0.425
68	0.430
69	0.426
70	0.418
71	0.291
72	0.291
73	0.291
74	0.292
78	0.342
79	0.383
80	0.385
81	0.386
82	0.391
83	0.401
84	0.845
85	0.661
86	0.613
87	0.634
88	0.654
89	0.652
90	0.646
91	0.567
92	0.966
93	0.977
94	0.989
95	0.989
96	1.000
97	1.000
98	1.000
99	1.000
100	1.000
101	1.000
102	1.000
103	1.000
104	1.000
105	1.000
106	1.000
107	1.000
108	1.000
109	1.000
110	1.000
111	1.000
112	1.000
113	1.000
114	1.000
115	1.000
116	1.000
117	1.000
118	1.000
119	1.000
120	1.000
121	1.000
122	1.000
123	1.000
124	1.000
125	1.000
126	1.000
127	1.000
128	1.000
129	1.000
130	1.000
131	1.000
132	1.000
133	1.000
134	1.000
135	1.000
136	1.000
137	1.000
138	1.000
139	1.000
140	1.000
141	1.000
142	1.000
143	1.000
144	1.000
145	1.000
146	1.000
147	1.000
148	1.000
149	1.000
150	1.000
151	1.000
152	1.000
153	1.000
154	1.000
155	1.000
156	1.000
157	1.000
158	1.000
159	1.000
160	1.000
161	1.000
162	1.000
163	1.000
164	1.000
165	1.000
166	1.000
167	1.000
168	1.000
169	1.000
170	1.000
171	1.000
172	1.000
173	1.000
174	1.000
175	1.000
176	1.000
177	1.000
178	1.000
179	1.000
180	1.000
181	1.000
182	1.000
183	1.000
184	1.000
185	1.000
186	1.000
187	1.000
188	1.000
189	1.000
190	1.000
191	1.000
192	1.000
193	1.000
194	1.000
195	1.000
196	1.000
197	1.000
198	1.000
199	1.000
200	1.000
201	1.000
202	1.000
203	1.000
204	1.000
205	1.000
206	1.000
207	1.000
208	1.000
209	1.000
210	1.000
211	1.000
212	1.000
213	1.000
214	1.000
215	1.000
216	1.000
217	1.000
218	1.000
219	1.000
220	1.000
221	1.000
222	1.000
223	1.000
224	1.000
225	1.000
226	1.000
227	1.000
228	1.000
229	1.000
230	1.000
231	1.000
232	1.000
233	1.000
234	1.000
235	1.000
236	1.000
237	1.000
238	1.000
239	1.000
240	1.000
241	1.000
242	1.000
243	1.000
244	1.000
245	1.000
246	1.000
247	1.000
248	0.993
249	0.993
250	0.993
251	1.000
252	1.000
253	1.000
254	1.000
255	1.000
256	1.000
257	1.000
258	1.000
259	1.000
260	1.000
261	1.000
262	1.000
263	1.000
264	1.000
265	1.000
266	1.000
267	1.000
268	1.000
269	1.000
270	1.000
271	1.000
272	1.000
273	1.000
274	1.000
275	1.000
276	1.000
277	1.000
278	1.000
279	1.000
280	1.000
281	1.000
282	1.000
283	1.000
284	1.000
285	1.000
286	1.000
287	1.000
288	1.000
289	1.000
290	1.000
291	1.000
292	1.000
293	1.000
294	1.000
295	1.000
296	1.000
297	1.000
298	1.000
299	1.000
300	1.000
301	1.000
302	1.000
303	1.000
304	1.000
305	1.000
306	1.000
307	1.000
308	1.000
309	1.000
310	1.000
311	1.000
312	1.000
313	1.000
314	1.000
315	1.000
316	1.000
317	1.000
318	1.000
319	1.000
320	1.000
321	1.000
322	1.000
323	1.000
324	1.000
325	1.000
326	1.000
327	1.000
328	1.000
329	1.000
330	1.000
331	1.000
332	1.000
333	1.000
334	1.000
335	1.000
336	1.000
337	1.000
338	1.000
339	1.000
340	1.000
341	1.000
342	1.000
343	1.000
344	1.000
345	1.000
346	1.000
347	1.000
348	1.000
349	1.000
350	1.000
351	1.000
352	1.000
353	1.000
354	1.000
355	1.000
356	1.000
357	1.000
358	1.000
359	1.000
360	1.000
361	1.000
362	1.000
363	1.000
364	1.000
365	1.000
366	1.000
367	1.000
368	1.000
369	1.000
370	1.000
371	1.000
372	1.000
373	1.000
374	1.000
375	1.000
376	1.000
377	1.000
378	1.000
379	1.000
380	1.000
381	1.000
382	1.000
383	1.000
384	1.000
385	1.000
386	1.000
387	1.000
388	1.000
389	1.000
390	1.000
391	1.000
392	1.000
393	1.000
394	1.000
395	1.000
396	1.000
397	1.000
398	1.000
399	1.000
400	1.000
401	1.000
402	1.000
403	1.000
404	1.000
405	1.000
406	1.000
407	1.000
408	1.000
409	1.000
410	1.000
411	1.000
412	1.000
413	1.000
414	1.000
415	1.000
416	1.000
417	1.000
418	1.000
419	1.000
420	1.000
421	1.000
422	1.000
423	1.000
424	1.000
425	1.000
426	1.000
427	1.000
428	1.000
429	1.000
430	1.000
431	1.000
432	1.000
433	1.000
434	1.000
435	1.000
436	1.000
437	1.000
438	1.000
439	1.000
440	1.000
441	1.000
442	1.000
443	1.000
444	1.000
445	1.000
446	1.000
447	1.000
448	1.000
449	1.000
450	1.000
451	1.000
452	1.000
453	1.000
454	1.000
455	1.000
456	1.000
457	1.000
458	1.000
459	1.000
460	1.000
461	1.000
462	1.000
